nome,sobrenome,data_nascimento,endereço,email
João,Silva,23/04/1985,Rua A,joao.silva@email.com
Maria,Souza,11/08/1990,Rua B,maria.souza@email.com
Pedro,Rodrigues,06/12/1978,Rua C,pedro.rodrigues@email.com
Ana,Lima,22/03/2000,Rua D,ana.lima@email.com
Luiz,Fernandes,15/06/1995,Rua E,luiz.fernandes@email.com
Sandra,Mendonça,30/11/1973,Rua F,sandra.mendonca@email.com
Carlos,Oliveira,03/02/1988,Rua G,carlos.oliveira@email.com
Julia,Rodrigues,18/07/1998,Rua H,julia.rodrigues@email.com
Mariana,Santos,12/05/1982,Rua I,mariana.santos@email.com
Gustavo,Mendes,07/09/1991,Rua J,gustavo.mendes@email.com
